circuitId,circuitRef,name_x,location,country,lat,lng,alt,url,name_y,Last length used,Turns,image_url,local_image_path
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,AutÃ³dromo Hermanos RodrÃ­guez,4.304Â km (2.674Â mi),17,https://upload.wikimedia.org/wikipedia/commons/3/36/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg,
33,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,345,http://en.wikipedia.org/wiki/Phoenix_street_circuit,Phoenix street circuit,3.720Â km (2.312Â mi),12,https://upload.wikimedia.org/wikipedia/commons/f/fa/Phoenix_Grand_Prix_Route_-_1991.svg,
34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,Circuit Paul Ricard,5.842Â km (3.630Â mi),15,https://upload.wikimedia.org/wikipedia/commons/f/f2/Le_Castellet_circuit_map_Formula_One_2019_and_2021_with_corner_names_English_19_07_2021.svg,
35,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,0,http://en.wikipedia.org/wiki/Korean_International_Circuit,Korea International Circuit,5.615Â km (3.489Â mi),18,https://upload.wikimedia.org/wikipedia/commons/2/29/Korea_international_circuit_v3.svg,
36,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1126,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,AutÃ³dromo Internacional do Rio de Janeiro,5.031Â km (3.126Â mi),11,https://upload.wikimedia.org/wikipedia/commons/0/08/Aut%C3%B3dromo_de_Jacarepagu%C3%A1_1978-1995.png,
37,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,177,http://en.wikipedia.org/wiki/Detroit_street_circuit,Detroit Street Circuit,4.023Â km (2.500Â mi),20,https://upload.wikimedia.org/wikipedia/commons/3/38/Downtown_Detroit_Street_Circuit.svg,
38,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,145,http://en.wikipedia.org/wiki/Brands_Hatch,Brands Hatch Circuit,4.206Â km (2.613Â mi),11,https://upload.wikimedia.org/wikipedia/commons/4/45/Brands_Hatch_1976-1987.svg,
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Zandvoort,4.259Â km (2.646Â mi),14,https://upload.wikimedia.org/wikipedia/commons/7/78/Zandvoort_Circuit.png,
40,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,36,http://en.wikipedia.org/wiki/Zolder,Circuit Zolder,4.262Â km (2.648Â mi),10,https://upload.wikimedia.org/wikipedia/commons/c/cb/Circuit_Zolder-1975-1985.svg,
41,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,484,http://en.wikipedia.org/wiki/Dijon-Prenois,Circuit Dijon-Prenois,3.886Â km (2.415Â mi),12,https://upload.wikimedia.org/wikipedia/commons/d/de/Dijon-Prenois_Circuit.svg,
42,dallas,Fair Park,Dallas,USA,32.7774,-96.7587,139,http://en.wikipedia.org/wiki/Fair_Park,Dallas Fair Park,3.901Â km (2.424Â mi),14,https://upload.wikimedia.org/wikipedia/commons/5/58/Circuit_Fair_Park.svg,
43,long_beach,Long Beach,California,USA,33.7651,-118.189,12,"http://en.wikipedia.org/wiki/Long_Beach,_California",Long Beach Street Circuit,3.275Â km (2.035Â mi),18,https://upload.wikimedia.org/wikipedia/commons/d/d4/Long_Beach_1983.jpg,
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit,,,,,
45,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,609,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama,Circuito Permanente del Jarama,3.314Â km (2.059Â mi),12,https://upload.wikimedia.org/wikipedia/commons/a/a4/Circuito_Permanente_del_Jarama_1980.svg,
