Circuit_link,Circuit,Map_link,Map,Type,Direction,Location_link,Location,Country_link,Country,Last length used,Turns,Grands Prix_link,Grands Prix,Season(s)_link,Season(s),Grands Prix held
https://en.wikipedia.org/wiki/Prince_George_Circuit,Prince George Circuit,https://en.wikipedia.org/wiki/File:Prince_George_Circuit.svg,,Race circuit,Clockwise,"https://en.wikipedia.org/wiki/East_London,_Eastern_Cape",East London,https://en.wikipedia.org/wiki/South_Africa,South Africa,3.920Â km (2.436Â mi),8,https://en.wikipedia.org/wiki/South_African_Grand_Prix,South African Grand Prix,https://en.wikipedia.org/wiki/1962_Formula_One_season,"1962â€“1963, 1965",3
https://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,https://en.wikipedia.org/wiki/File:Spielberg_bare_map_numbers_contextless_2021_corner_names.svg,,Race circuit,Clockwise,"https://en.wikipedia.org/wiki/Spielberg,_Styria",Spielberg,https://en.wikipedia.org/wiki/Austria,Austria,4.318Â km (2.683Â mi),10,https://en.wikipedia.org/wiki/Austrian_Grand_Prix,"Austrian Grand Prix,Styrian Grand Prix",https://en.wikipedia.org/wiki/1970_Formula_One_season,"1970â€“1987, 1997â€“2003, 2014â€“2024[c]",38
https://en.wikipedia.org/wiki/Riverside_International_Raceway,Riverside International Raceway,https://en.wikipedia.org/wiki/File:Riverside_International_Raceway_1967.svg,,Race circuit,Clockwise,"https://en.wikipedia.org/wiki/Moreno_Valley,_California",Moreno Valley,https://en.wikipedia.org/wiki/United_States,United States,5.271Â km (3.275Â mi),9,https://en.wikipedia.org/wiki/United_States_Grand_Prix,United States Grand Prix,https://en.wikipedia.org/wiki/1960_Formula_One_season,1960,1
https://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,https://en.wikipedia.org/wiki/File:Rouen_track_layout_1955-1971.gif,,Road circuit,Clockwise,"https://en.wikipedia.org/wiki/Orival,_Seine-Maritime",Orival,https://en.wikipedia.org/wiki/France,France,6.542Â km (4.065Â mi),13,https://en.wikipedia.org/wiki/French_Grand_Prix,French Grand Prix,https://en.wikipedia.org/wiki/1952_Formula_One_season,"1952, 1957, 1962, 1964, 1968",5
https://en.wikipedia.org/wiki/Anderstorp_Raceway,Scandinavian Raceway,https://en.wikipedia.org/wiki/File:Scandinavian_Raceway_1978.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Anderstorp,Anderstorp,https://en.wikipedia.org/wiki/Sweden,Sweden,4.031Â km (2.505Â mi),8,https://en.wikipedia.org/wiki/Swedish_Grand_Prix,Swedish Grand Prix,https://en.wikipedia.org/wiki/1973_Formula_One_season,1973â€“1978,6
https://en.wikipedia.org/wiki/Sebring_International_Raceway,Sebring Raceway,https://en.wikipedia.org/wiki/File:Sebring_International_Raceway_-_Historical_(1952).svg,,Road circuit,Clockwise,"https://en.wikipedia.org/wiki/Sebring,_Florida",Sebring,https://en.wikipedia.org/wiki/United_States,United States,8.356Â km (5.192Â mi),12,https://en.wikipedia.org/wiki/United_States_Grand_Prix,United States Grand Prix,https://en.wikipedia.org/wiki/1959_Formula_One_season,1959,1
https://en.wikipedia.org/wiki/Sepang_International_Circuit,Sepang International Circuit,https://en.wikipedia.org/wiki/File:Sepang.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Sepang_District,Sepang,https://en.wikipedia.org/wiki/Malaysia,Malaysia,5.543Â km (3.444Â mi),15,https://en.wikipedia.org/wiki/Malaysian_Grand_Prix,Malaysian Grand Prix,https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship,1999â€“2017,19
https://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai International Circuit,https://en.wikipedia.org/wiki/File:Shanghai_International_Racing_Circuit_track_map.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Shanghai,Shanghai,https://en.wikipedia.org/wiki/China,China,5.451Â km (3.387Â mi),16,https://en.wikipedia.org/wiki/Chinese_Grand_Prix,Chinese Grand Prix,https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship,"2004â€“2019, 2024â€“2025",18
https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,https://en.wikipedia.org/wiki/File:Silverstone_Circuit_vector_map.png,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Silverstone,Silverstone,https://en.wikipedia.org/wiki/United_Kingdom,United Kingdom,5.891Â km (3.660Â mi),18,https://en.wikipedia.org/wiki/British_Grand_Prix,"British Grand Prix,70th Anniversary Grand Prix",https://en.wikipedia.org/wiki/1950_Formula_One_season,"1950â€“1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987â€“2024[a]",59
https://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi Autodrom,https://en.wikipedia.org/wiki/File:Circuit_Sochi.svg,,Race circuit,Clockwise,https://en.wikipedia.org/wiki/Sochi,Sochi,https://en.wikipedia.org/wiki/Russia,Russia,5.848Â km (3.634Â mi),15,https://en.wikipedia.org/wiki/Russian_Grand_Prix,Russian Grand Prix,https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship,2014â€“2021,8
https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka International Racing Course,https://en.wikipedia.org/wiki/File:Suzuka_circuit_map--2005.svg,,Race circuit,Part clockwise and part anti-clockwise (figure eight),"https://en.wikipedia.org/wiki/Suzuka,_Mie",Suzuka,https://en.wikipedia.org/wiki/Japan,Japan,5.807Â km (3.608Â mi),18,https://en.wikipedia.org/wiki/Japanese_Grand_Prix,Japanese Grand Prix,https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship,"1987â€“2006, 2009â€“2019, 2022â€“2025",35
https://en.wikipedia.org/wiki/Okayama_International_Circuit,TI Circuit Aida,https://en.wikipedia.org/wiki/File:Circuit_TI_(Aida).png,,Race circuit,Clockwise,"https://en.wikipedia.org/wiki/Mimasaka,_Okayama",Mimasaka,https://en.wikipedia.org/wiki/Japan,Japan,3.703Â km (2.301Â mi),11,https://en.wikipedia.org/wiki/Pacific_Grand_Prix,Pacific Grand Prix,https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship,1994â€“1995,2
https://en.wikipedia.org/wiki/Valencia_Street_Circuit,Valencia Street Circuit,https://en.wikipedia.org/wiki/File:Circuit_Valencia_street.svg,,Street circuit,Clockwise,https://en.wikipedia.org/wiki/Valencia,Valencia,https://en.wikipedia.org/wiki/Spain,Spain,5.419Â km (3.367Â mi),25,https://en.wikipedia.org/wiki/European_Grand_Prix,European Grand Prix,https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship,2008â€“2012,5
https://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen International,https://en.wikipedia.org/wiki/File:Watkins_Glen_1975-1983.png,,Race circuit,Clockwise,"https://en.wikipedia.org/wiki/Watkins_Glen,_New_York",Watkins Glen,https://en.wikipedia.org/wiki/United_States,United States,5.430Â km (3.374Â mi),10,https://en.wikipedia.org/wiki/United_States_Grand_Prix,United States Grand Prix,https://en.wikipedia.org/wiki/1961_Formula_One_season,1961â€“1980,20
https://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,https://en.wikipedia.org/wiki/File:Yas_Marina_Circuit.png,,Race circuit,Anti-clockwise,https://en.wikipedia.org/wiki/Abu_Dhabi,Abu Dhabi,https://en.wikipedia.org/wiki/United_Arab_Emirates,United Arab Emirates,5.281Â km (3.281Â mi),15,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship,2009â€“2024,16
https://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg Airfield,https://en.wikipedia.org/wiki/File:Circuit_Zeltweg.png,,Road circuit,Clockwise,https://en.wikipedia.org/wiki/Zeltweg,Zeltweg,https://en.wikipedia.org/wiki/Austria,Austria,3.186Â km (1.980Â mi),4,https://en.wikipedia.org/wiki/Austrian_Grand_Prix,Austrian Grand Prix,https://en.wikipedia.org/wiki/1964_Formula_One_season,1964,1
